date,value,value_trail_three,dataelement_text,ratelevel_text,industry_text,state_text,sizeclass_text,val_type_text
2021-01-01,3.9,3.9666666666666663,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-02-01,4,3.933333333333333,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-03-01,4.3,4.066666666666666,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-04-01,4.3,4.199999999999999,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-05-01,4.1,4.233333333333333,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-06-01,4.5,4.3,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-07-01,4.6,4.3999999999999995,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-08-01,4.3,4.466666666666666,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-09-01,4.5,4.466666666666666,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-10-01,4.5,4.433333333333333,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-11-01,4.6,4.533333333333332,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-12-01,4.4,4.5,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-01-01,4.3,4.433333333333333,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-02-01,4.5,4.3999999999999995,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-03-01,4.4,4.3999999999999995,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-04-01,4.4,4.433333333333334,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-05-01,4.3,4.366666666666666,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-06-01,4.3,4.333333333333333,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-07-01,4.2,4.266666666666667,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-08-01,4.2,4.233333333333333,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-09-01,4,4.133333333333333,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-10-01,4,4.066666666666666,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-11-01,4,4,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-12-01,4,4,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-01-01,4.1,4.033333333333332,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-02-01,3.9,3.9999999999999996,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-03-01,3.8,3.933333333333333,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-04-01,3.8,3.8333333333333326,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-05-01,3.9,3.8333333333333326,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-06-01,3.8,3.8333333333333326,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-07-01,3.6,3.766666666666666,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-08-01,3.7,3.6999999999999997,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-09-01,3.7,3.6666666666666665,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-10-01,3.6,3.6666666666666665,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-11-01,3.5,3.5999999999999996,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-12-01,3.6,3.5666666666666664,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-01-01,3.5,3.533333333333333,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-02-01,3.6,3.5666666666666664,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-03-01,3.5,3.533333333333333,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-04-01,3.5,3.533333333333333,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-05-01,3.5,3.5,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-06-01,3.2,3.4,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-07-01,3.4,3.3666666666666667,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-08-01,3.3,3.2999999999999994,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-09-01,3.5,3.4,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-10-01,3.4,3.4,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-11-01,3.3,3.4,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-12-01,3.4,3.366666666666666,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
2025-01-01,3.4,3.366666666666666,Hires,Rate,Total nonfarm,Total US,All size classes,ts_line
