date,date_period_text,value,data_element_text,data_measure_text,date_measure_text,data_transform_text,geo_entity_type_text,geo_entity_text,industry_text,sizeclass_text,seas_adj_text,viz_type_text
2025-05-01,Monthly,2,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Construction,All size classes,Seasonally adjusted,Bar
2025-05-01,Monthly,1.8333333333333333,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Professional and business services,All size classes,Seasonally adjusted,Bar
2025-05-01,Monthly,1.3,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Leisure and hospitality,All size classes,Seasonally adjusted,Bar
2025-05-01,Monthly,1.0999999999999999,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Information,All size classes,Seasonally adjusted,Bar
2025-05-01,Monthly,1.0999999999999999,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Mining and logging,All size classes,Seasonally adjusted,Bar
2025-05-01,Monthly,1.0666666666666667,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,"Trade, transportation, and utilities",All size classes,Seasonally adjusted,Bar
2025-05-01,Monthly,1.0333333333333334,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Bar
2025-05-01,Monthly,0.9333333333333332,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Other services,All size classes,Seasonally adjusted,Bar
2025-05-01,Monthly,0.8666666666666667,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Manufacturing,All size classes,Seasonally adjusted,Bar
2025-05-01,Monthly,0.7333333333333334,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Financial activities,All size classes,Seasonally adjusted,Bar
2025-05-01,Monthly,0.6666666666666666,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Private education and health services,All size classes,Seasonally adjusted,Bar
2025-05-01,Monthly,0.3666666666666667,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Government,All size classes,Seasonally adjusted,Bar
